Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Francis Minhthang Bui,"Associate Professor, ECE Department, University of Saskatchewan",https://scholar.google.com/citations?view_op=view_org&hl=en&org=7846091072518378427,Verified email at usask.ca - Homepage,"https://engineering.usask.ca/people/ece/bui,francis.php",2619,1840,24,20,55,42,Signal ProcessingMachine LearningCommunicationsBiomedical Engineering,https://scholar.google.com/citations?hl=en&user=-N2mIdwAAAAJ
Ba-Ngu Vo,Curtin University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=12204274328548754159,Verified email at curtin.edu.au - Homepage,http://ba-ngu.vo-au.com/index.html,25447,10861,71,46,161,102,statistical signal processingstochastic geometryrandom setspoint processtarget tracking,https://scholar.google.com/citations?hl=en&user=V03zTGIAAAAJ
Thuc Vo,La Trobe University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=6055244364183599709,Verified email at latrobe.edu.au,,9059,6375,54,45,110,101,Structural engineeringMechanical engineering,https://scholar.google.com/citations?hl=en&user=1NE_wEoAAAAJ
K.T. Chau,The Hong Kong Polytechnic University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10969585421171712084,Verified email at polyu.edu.hk,,28736,11751,84,50,362,227,Electric vehicle technologiesRenewable energy systemsMachines and drivesPower electronics,https://scholar.google.com/citations?hl=en&user=5wptXfQAAAAJ
Cao-Thang Dinh,"Assistant Professor, Queen's University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=15288470216663349706,Verified email at queensu.ca - Homepage,https://refuelqueens.com/,30071,27413,67,61,98,95,Renewable fuels and chemicalsCO2 conversionelectrochemical systemscatalysis,https://scholar.google.com/citations?hl=en&user=SpJXjD4AAAAJ
Truong X. Nghiem,University of Central Florida,https://scholar.google.com/citations?view_op=view_org&hl=en&org=655088595194328060,Verified email at ucf.edu - Homepage,http://nxtlab.org/,1393,706,19,12,32,17,intelligent cyber-physical systemsML/AI and controlautonomous systemsrobotics,https://scholar.google.com/citations?hl=en&user=ELMp9FMAAAAJ
Mai Thang Long,Industrial University of Ho Chi Minh City,,Verified email at iuh.edu.vn,,283,166,10,9,10,6,Robotics ControlLearning ControlIntelligent Control,https://scholar.google.com/citations?hl=en&user=_SWoD0cAAAAJ
Le Thai Duy,Ajou University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=8057873644277280226,Verified email at ajou.ac.kr,,2394,1984,22,21,33,33,SensingEnergyNanomaterialsWearable electronicsSelf-healing,https://scholar.google.com/citations?hl=en&user=kiyITEYAAAAJ
Chi Thai,"Associate Professor, College of Engineering, University of Georgia",https://scholar.google.com/citations?view_op=view_org&hl=en&org=14091600928394989845,Verified email at engr.uga.edu - Homepage,http://www.engr.uga.edu/mvteachr,1871,659,21,10,37,12,Spectral Machine VisionTheatre RoboticsSystems Modeling & SimulationInstructional Technologies,https://scholar.google.com/citations?hl=en&user=TOIC0FoAAAAJ
Dinh Thai Hoang,"University of Technology Sydney (UTS), Australia",https://scholar.google.com/citations?view_op=view_org&hl=en&org=10906564628192137533,Verified email at uts.edu.au - Homepage,https://sites.google.com/view/dinh-thai-hoang/,17680,14701,48,47,121,117,Mobile Edge ComputingApplied AIIntelligent CommunicationsMetaverseCyberattack Detection,https://scholar.google.com/citations?hl=en&user=-esKZ8YAAAAJ
