Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Duan Tran,University of Illinois,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4497256714731484767,Verified email at illinois.edu - Homepage,http://vision.cs.uiuc.edu/~ddtran2/,1454,349,8,7,8,7,Artificial IntelligenceComputer VisionMachine Learning,https://scholar.google.com/citations?hl=en&user=qOFsOpQAAAAJ
Binh Tran,"La Trobe University, Melbourne, Australia",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6055244364183599709,Verified email at latrobe.edu.au,,1411,1283,14,14,15,15,Machine learningRepresentation LearningeXplainable AI,https://scholar.google.com/citations?hl=en&user=cM1LQ30AAAAJ
Tran Thanh Hai,"Hanoi University of Science and Technology (HUST), School of Electrical and Electronic Engineering",,No verified email - Homepage,http://mica.edu.vn/perso/Tran-Thi-Thanh-Hai/,1378,1026,19,16,45,33,Computer VisionMachine LearningAI,https://scholar.google.com/citations?hl=en&user=RmM94TIAAAAJ
Tuan T. Tran,Sullivan University,,Verified email at sullivan.edu - Homepage,http://dev.cictspace.net/ttran/index.html,1358,372,15,9,20,9,Communication NetworksCloud ComputingMachine LearningData Mining,https://scholar.google.com/citations?hl=en&user=mzJnQRcAAAAJ
Hoa Tran,"Postdoctoral Scientist, British Columbia Cancer Center",,Verified email at bccrc.ca,,1238,1234,5,5,5,5,Machine LearningImage ProcessingSingle Cell Analysis,https://scholar.google.com/citations?hl=en&user=Ly8W9mkAAAAJ
Thanh T. L. Tran,"University of Massachusetts, Amherst. Twitter, Inc. LinkedIn.",https://scholar.google.com/citations?view_op=view_org&hl=en&org=5975801905741339150,Verified email at alumni.umass.edu,,1176,613,17,13,18,14,Data ScienceData ManagementMachine Learning,https://scholar.google.com/citations?hl=en&user=J20etNYAAAAJ
Son Tran,"Principal Scientist, Amazon",https://scholar.google.com/citations?view_op=view_org&hl=en&org=11215970455707674271,Verified email at amazon.com,,1158,651,12,12,17,13,Computer VisionMachine LearningDeep LearningVideo Processing,https://scholar.google.com/citations?hl=en&user=P0EbpmgAAAAJ
Lam C. Tran,University of Rochester,https://scholar.google.com/citations?view_op=view_org&hl=en&org=9810397674049610307,Verified email at u.rochester.edu,,1100,780,19,14,26,18,Machine Learning,https://scholar.google.com/citations?hl=en&user=uu_E5UUAAAAJ
Du Tran,Google,https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,https://dutran.github.io/,20763,17465,30,28,35,31,Computer VisionMachine Learning,https://scholar.google.com/citations?hl=en&user=3TVbh8QAAAAJ
Dustin Tran,"Research Scientist, Google",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,http://www.dustintran.com/,13633,12488,40,39,51,50,Artificial IntelligenceMachine LearningStatisticsDeep Learning,https://scholar.google.com/citations?hl=en&user=wVazIm8AAAAJ
